
envoyer Passé Antérieur,j'eus envoyé,tu eus envoyé,il eut envoyé,nous eûmes envoyé,vous eûtes envoyé,ils eurent envoyé
envoyer Impératif Présent,,tu envoie,,nous envoyons,vous envoyez,
envoyer Infinitif Présent,j'envoyer,tu envoyer,il envoyer,nous envoyer,vous envoyer,ils envoyer
envoyer Participe Présent,j'envoyant,tu envoyant,il envoyant,nous envoyant,vous envoyant,ils envoyant
envoyer Participe Passé,j'envoyé,tu envoyé,il envoyé,nous envoyé,vous envoyé,ils envoyé

ficher Présent,je fiche,tu fiches,il fiche,nous fichons,vous fichez,ils fichent
ficher Passé Composé,j'ai fiché|fichu,tu as fiché|fichu,il a fiché|fichu,nous avons fiché|fichu,vous avez fiché|fichu,ils ont fiché|fichu
ficher Imparfait,je fichais,tu fichais,il fichait,nous fichions,vous fichiez,ils fichaient
ficher Plus-que-parfait,j'avais fiché|fichu,tu avais fiché|fichu,il avait fiché|fichu,nous avions fiché|fichu,vous aviez fiché|fichu,ils avaient fiché|fichu
ficher Futur Simple,je ficherai,tu ficheras,il fichera,nous ficherons,vous ficherez,ils ficheront
ficher Futur Antérieur,j'aurai fiché|fichu,tu auras fiché|fichu,il aura fiché|fichu,nous aurons fiché|fichu,vous aurez fiché|fichu,ils auront fiché|fichu
ficher Conditionnel Présent,je ficherais,tu ficherais,il ficherait,nous ficherions,vous ficheriez,ils ficheraient
ficher Conditionnel Passé,j'aurais fiché|fichu,tu aurais fiché|fichu,il aurait fiché|fichu,nous aurions fiché|fichu,vous auriez fiché|fichu,ils auraient fiché|fichu
ficher Subjonctif Présent,que je fiche,que tu fiches,qu'il fiche,que nous fichions,que vous fichiez,qu'ils fichent
ficher Subjonctif Passé,que j'aie fiché|fichu,que tu aies fiché|fichu,qu'il ait fiché|fichu,que nous ayons fiché|fichu,que vous ayez fiché|fichu,qu'ils aient fiché|fichu
ficher Subjonctif Imparfait,que je fichasse,que tu fichasses,qu'il fichât,que nous fichassions,que vous fichassiez,qu'ils fichassent
ficher Subjonctif Plus-que-parfait,que j'eusse fiché|fichu,que tu eusses fiché|fichu,qu'il eût fiché|fichu,que nous eussions fiché|fichu,que vous eussiez fiché|fichu,qu'ils eussent fiché|fichu
ficher Passé simple,je fichai,tu fichas,il ficha,nous fichâmes,vous fichâtes,ils fichèrent
ficher Passé Antérieur,j'eus fiché|fichu,tu eus fiché|fichu,il eut fiché|fichu,nous eûmes fiché|fichu,vous eûtes fiché|fichu,ils eurent fiché|fichu
ficher Impératif Présent,,tu fiche,,nous fichons,vous fichez,
ficher Infinitif Présent,je ficher,tu ficher,il ficher,nous ficher,vous ficher,ils ficher
ficher Participe Présent,je fichant,tu fichant,il fichant,nous fichant,vous fichant,ils fichant
ficher Participe Passé,je fiché|fichu,tu fiché|fichu,il fiché|fichu,nous fiché|fichu,vous fiché|fichu,ils fiché|fichu

incomber Présent,,,il incombe,,,ils incombent
incomber Passé Composé,j'ai incombé,tu as incombé,il a incombé,nous avons incombé,vous avez incombé,ils ont incombé
incomber Imparfait,,,il incombait,,,ils incombaient
incomber Plus-que-parfait,j'avais incombé,tu avais incombé,il avait incombé,nous avions incombé,vous aviez incombé,ils avaient incombé
incomber Futur Simple,,,il incombera,,,ils incomberont
incomber Futur Antérieur,j'aurai incombé,tu auras incombé,il aura incombé,nous aurons incombé,vous aurez incombé,ils auront incombé
incomber Conditionnel Présent,,,il incomberait,,,ils incomberaient
